Component,"User Action",Precondition,"Expected Results",Priority,"Require File",Steps
"Edit availablity","Fields left blank","- A user is logged in as a business account
- The system is displaying an ""Edit availability"" option","- The availability times of the selected employee will not be changed
- The user is informed that the entered infomation was not valid
- The user remains on the current menu",,no,"Click the ""edit availability"" link || Select an employee || Enter in some times leaving between one and all fields blank || Click the ""complete"" or ""finish"" button"
"Edit availablity","View Roster","- I am logged in as a business account
- I am on the edit availability page","- I can see each employee's working week ahead",,no,
,,,,,,
"Add Employee","Add employee without first name","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter in an employee but leave first name blank || Click submission button"
"Add Employee","Add employee with a first name that is too long","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter a first name that is more than 50 characters || Click submission button"
"Add Employee","Add employee without a last name","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter in an employee but leave last name blank || Click submission button"
"Add Employee","Add employee with a last name that is too long","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter last name that is more than 50 characters || Click submission button"
"Add Employee","Add employee without an email address","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter in an employee but leave email blank || Click submission button"
"Add Employee","Add employee with a valid email address","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Able to submit
- User is redirected to main menu
- A message appears informing them that employee was added.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter valid employee information || Enter valid email foo.bar57@example.rmit.edu.au || Click submission button"
"Add Employee","Add employee with an email address that is too long","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter an email that is more than 250 characters long || Click submission button"
"Add Employee","Add employee with an email address that is invalid","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter employee info || Enter invalid email foo@invalid || Click ""Submit"""
"Add Employee","Add employee with valid first name","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Able to submit
- User is redirected to main menu
- A message appears informing them that employee was added.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter in an employee info || Enter valid first name ""Foo"" || Click submit"
"Add Employee","Add employee with valid last name","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Able to submit
- User is redirected to main menu
- A message appears informing them that employee was added.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter in an employee but leave email blank || Click submission button"
"Add Employee","Add employee without a contact no.","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter in an employee but leave contact no. blank || Click submission button"
"Add Employee","Add employee with a contact no. that is too long","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter contact no. that is more than 50 characters || Click submission button"
"Add Employee","Add employee with an invalid contact no.","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter employee info || Enter invalid contact no. ""abc"" || Click ""Submit"""
"Add Employee","Add employee with a valid conact no.","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Able to submit
- User is redirected to main menu
- A message appears informing them that employee was added.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter in an employee info || Enter valid contact no. ""0455555555"" || Click submit"
"Add Employee","Add employee without a street address","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter in an employee but address name blank || Click submission button"
"Add Employee","Add employee with a street address that is too long","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter last name that is more than 250 characters || Click submission button"
"Add Employee","Add employee with a valid street address","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Able to submit
- User is redirected to main menu
- A message appears informing them that employee was added.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter in an employee info || Enter valid address ""123 Some St"" || Click submit"
"Add Employee","Add employee without a city","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter in an employee but leave city blank || Click submission button"
"Add Employee","Add employee with a city that is too long","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter a city that is more than 250 characters || Click submission button"
"Add Employee","Add employee with an invalid city name","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter employee info || Enter invalid city ""$^y7&*"" || Click ""Submit"""
"Add Employee","Add employee with a valid city","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Able to submit
- User is redirected to main menu
- A message appears informing them that employee was added.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter in an employee info || Enter valid city ""Melbourne"" || Click submit"
"Add Employee","Add employee without a state","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter in an employee but leave state blank || Click submission button"
"Add Employee","Add employee without a post code","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter in an employee but leave post code blank || Click submission button"
"Add Employee","Add employee with an invalid post code","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter employee info || Enter invalid post code ""&^*()&"" || Click ""Submit"""
"Add Employee","Add employee with a post code that is too long","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Unable to submit
- An error message appears explaining why the input was invalid.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter a post code that is more than 50 characters || Click submission button"
"Add Employee","Add employee with a valid post code","- User is logged in as a business owner
- User is on ""Add Employee"" page","- Able to submit
- User is redirected to main menu
- A message appears informing them that employee was added.",High,no,"Sign is as business owner || Select ""Add Employee"" from main menu || Enter in an employee info || Enter valid post code ""3000"" || Click submit"
,,,,,,
"View available bookings","View available bookings","- I am logged in as a customer
- I am on 'Make a booking' page","- I can see available bookings.",,no,"Login as a customer || Click ""Make a booking"" button"
"View available bookings","View All Bookings","- I am logged in as a business owner
- I am on 'Booking' page","- I can see all of the empty bookings
- I can see all of the taken bookings
- I can see all of the bookings for a month in advance
- I can see all of the bookings for a week passed",,no,
